What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
Not applicable,Ballot c,1958,"1adlt,0kids",1st person,56160,56160,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Not applicable,Not applicable,$110000 to $129999,$110000 to $129999,None or almost none of the time,All or almost all of the time,None or almost none of the time,5,0,10,0,Yes,Yes,Definitely true,Definitely true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Very happy,Not very strong,Strong republican,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,39,Not applicable,Excellent,Satisfied,Top,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Hardly any,Only some,A great deal,Cannot trust,Exciting,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1937,"1adlt,0kids",1st person,0,15210,No issp,No issp,No issp,No issp,Neither,Not applicable,Not applicable,$30000 to 34999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Slightly true,Neutral,Agree,4,Everyday,Somewhat better,Not applicable,Pretty happy,Strong,Strong democrat,Middle atlantic,Not applicable,$25000 or more,Yes,Below average,Father,Widowed,Not applicable,40,Not applicable,Not applicable,Satisfied,5,Not applicable,Not applicable,Sev times a week,Sev times a year,Hardly any,Only some,Only some,A great deal,Only some,Can trust,Not applicable,2016
Not applicable,Ballot c,1976,"2as,ntmar,ntrel,opsex,0ks",2nd person,8775,21060,Agree,Agree,Strongly disagree,Agree,Agree,Not applicable,Not applicable,$40000 to 49999,$17500 to 19999,Some of the time,Some of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Mostly true,Agree,Agree,Not applicable,Not applicable,Much worse,Not applicable,Pretty happy,Not very strong,"Ind,near dem",Middle atlantic,$15000 - 19999,$25000 or more,Yes,Average,Mother,Never married,Not applicable,41,Very happy,Good,Not at all sat,5,Very dissatisfied,Not applicable,Not applicable,Not applicable,Only some,Hardly any,Only some,Only some,Only some,Depends,Routine,2016
No answer,Ballot a,1972,"2adlts,mar,1+kids",2nd person,0,17550,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$35000 to 39999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Not applicable,Pretty happy,Not too happy,Strong,Strong democrat,Middle atlantic,Not applicable,$25000 or more,No,Average,Mother,Married,Not applicable,42,Not applicable,Good,Not at all sat,6,Mod. satisfied,Not too likely,Once a year,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1948,"2adlts,mar,0kids",1st person,0,46800,No issp,No issp,No issp,No issp,Agree,Not applicable,Bachelor's,$90000 to $109999,Not applicable,Not applicable,Not applicable,Not applicable,0,30,1,0,No,Yes,Slightly true,Slightly true,Neutral,Neutral,1,Everyday,Much better,Not too happy,Pretty happy,No religion,Not str republican,Middle atlantic,Not applicable,$25000 or more,No,Average,Mother & father,Married,Not applicable,43,Not applicable,Not applicable,Satisfied,5,Mod. satisfied,Not likely,Sev times a year,Sev times a week,Only some,A great deal,Only some,A great deal,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1980,"1adlt,0kids",1st person,15210,15210,Agree,Agree,Neither,Disagree,Disagree,Not applicable,Not applicable,$30000 to 34999,$30000 to 34999,Some of the time,Some of the time,None or almost none of the time,6,0,6,0,No,Yes,Mostly true,Slightly true,Neutral,Agree,Not applicable,Not applicable,Much worse,Not applicable,Not too happy,No religion,Not str democrat,Middle atlantic,$25000 or more,$25000 or more,No,Above average,Mother & father,Never married,Not applicable,44,Not applicable,Good,More or less,6,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Don't know,Hardly any,A great deal,Hardly any,Can trust,Exciting,2016
Not applicable,Ballot b,1946,"1adlt,0kids",1st person,0,6435,No issp,No issp,No issp,No issp,Agree,I don’t have a steady partner.,Not applicable,$12500 to 14999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,8,Everyday,Much better,Not applicable,Very happy,Strong,Not str republican,Middle atlantic,Not applicable,$10000 - 14999,No,Average,Mother & father,Divorced,Not applicable,45,Not applicable,Not applicable,Satisfied,Top,Not applicable,Not applicable,Once a month,Sev times a week,A great deal,A great deal,Only some,A great deal,A great deal,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1988,"1adlt,0kids",1st person,38610,38610,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I don’t have a steady partner.,Not applicable,$75000 to $89999,$75000 to $89999,None or almost none of the time,All or almost all of the time,None or almost none of the time,8,0,10,0,Yes,Yes,Definitely true,Definitely true,Agree,Strongly agree,Not applicable,Not applicable,Somewhat worse,Not applicable,Very happy,No religion,Strong democrat,Middle atlantic,$25000 or more,$25000 or more,Yes,Far below average,Mother & stpfather,Never married,Not applicable,46,Not applicable,Fair,Satisfied,2,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,A great deal,A great deal,Only some,Can trust,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1981,"1adlt,0kids",1st person,0,0,No issp,No issp,No issp,No issp,Strongly agree,Not applicable,Bachelor's,Refused,Refused,Not applicable,Not applicable,Not applicable,4,0,5,0,No,Yes,Mostly true,Mostly true,Strongly agree,Strongly agree,2,Everyday,About the same,Not applicable,Pretty happy,Not very strong,Not str democrat,Middle atlantic,Refused,Refused,Yes,Average,Mother & father,Never married,Not applicable,47,Not applicable,Not applicable,Satisfied,4,Very satisfied,Not likely,Sev times a mnth,Sev times a week,Only some,Only some,Only some,A great deal,A great deal,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1983,"2adlts,mar,0kids",1st person,25740,25740,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Phd,$50000 to 59999,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Everyday,Not applicable,Very happy,Not too happy,No religion,"Ind,near dem",Middle atlantic,$25000 or more,$25000 or more,No,Average,Mother & father,Married,Not applicable,48,Not applicable,Good,Satisfied,3,No answer,Not likely,Sev times a week,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1993,"2adlts,ntmar,rel,0kids",2nd person,0,15210,Agree,Neither,Neither,Agree,Agree,Not applicable,Not applicable,$30000 to 34999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,4,30,4,30,Yes,Yes,Somewhat true,Somewhat true,Agree,Neutral,Not applicable,Not applicable,Somewhat better,Not applicable,Pretty happy,Somewhat strong,Independent,Middle atlantic,Not applicable,$25000 or more,No,Above average,Mother & father,Never married,Not applicable,49,Not applicable,Excellent,Satisfied,3,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Hardly any,Only some,Only some,Cannot trust,Exciting,2016
Not applicable,Ballot b,1969,"1adlt,0kids",1st person,56160,56160,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,"I have a husband or wife or steady partner, but we don’t live in the same household.",Not applicable,$110000 to $129999,$110000 to $129999,Not applicable,Not applicable,Not applicable,7,0,7,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Never,Somewhat better,Not applicable,Very happy,Strong,Strong democrat,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Female relative,Divorced,Not applicable,50,Not applicable,Not applicable,More or less,4,Very satisfied,Not likely,Sev times a week,Sev times a year,Hardly any,Only some,A great deal,Only some,Hardly any,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1991,"2as,ntmar,ntrel,opsex,0ks",1st person,0,65520,No issp,No issp,No issp,No issp,Agree,Not applicable,Bachelor's,$130000 to $149999,Not applicable,Not applicable,Not applicable,Not applicable,10,0,3,0,Yes,Yes,Somewhat true,Mostly true,Neutral,Neutral,1,Everyday,Much better,Not applicable,Very happy,No religion,Not str democrat,Middle atlantic,Not applicable,$25000 or more,Yes,Above average,Mother & father,Never married,Not applicable,51,Very happy,Not applicable,Satisfied,4,Mod. satisfied,Not too likely,Sev times a year,Once a month,Hardly any,Hardly any,Hardly any,A great deal,A great deal,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1946,"2adlts,mar,0kids",2nd person,0,38610,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,Not applicable,Very happy,Pretty happy,Not very strong,Strong democrat,Middle atlantic,Not applicable,$25000 or more,No,Average,Mother & father,Married,Not applicable,52,Not applicable,Excellent,More or less,5,Not applicable,Not applicable,Once a month,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot b,1996,"3adlts,2mar,sp,rel,1+kids",3rd person,936,0,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,I don’t have a steady partner.,Not applicable,Don't know,$1 000 to 2 999,Not applicable,Not applicable,Not applicable,4,0,4,0,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,About the same,Not applicable,Very happy,Not very strong,Not str republican,Middle atlantic,$1000 to 2999,Don't know,Yes,Above average,Mother & father,Never married,Not applicable,53,Not applicable,Not applicable,Satisfied,3,Very satisfied,Not likely,Sev times a mnth,Sev times a mnth,Only some,A great deal,Only some,A great deal,A great deal,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1975,"2adlts,mar,1+kids",1st person,164382.0376,131676.6906,Neither,Neither,Agree,Neither,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$170000 or over,$170000 or over,None or almost none of the time,Most of the time,None or almost none of the time,1,0,2,0,Yes,Yes,Slightly true,Somewhat true,Neutral,Neutral,Not applicable,Not applicable,Somewhat better,Very happy,Very happy,Not very strong,"Ind,near rep",Middle atlantic,Refused,Refused,Yes,Far above average,Mother & father,Married,Not applicable,54,Not applicable,Good,Satisfied,2,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Only some,Only some,Only some,Can trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1963,"4+adlts,2mar,0kids",2nd person,2574,0,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Bachelor's,Refused,$5 000 to 5 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Never,Not applicable,Pretty happy,Very happy,Not very strong,Strong republican,Middle atlantic,$5000 to 5999,Refused,Yes,Above average,Mother & father,Married,Not applicable,55,Not applicable,Excellent,Satisfied,2,Mod. satisfied,Not likely,Once a month,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1974,"2adlts,mar,1+kids",2nd person,21060,74880,No issp,No issp,No issp,No issp,Agree,Not applicable,Bachelor's,$150000 to $169999,$40000 to 49999,Not applicable,Not applicable,Not applicable,2,0,2,0,No,Yes,Somewhat true,Slightly true,Agree,Agree,2,Never,Somewhat better,Very happy,Pretty happy,Not very strong,"Ind,near dem",Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & stpfather,Married,Not applicable,56,Not applicable,Not applicable,Not at all sat,5,Very satisfied,Not likely,Once a year,Sev times a week,Only some,Only some,Hardly any,Only some,Only some,Can trust,Not applicable,2016
Not applicable,Ballot b,1976,"1adlt,1+kids",1st person,11115,38610,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,I don’t have a steady partner.,Not applicable,$75000 to $89999,$22500 to 24999,Not applicable,Not applicable,Not applicable,1,30,1,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,0,Less than once wk,Somewhat better,Not applicable,Pretty happy,Strong,Not str democrat,Middle atlantic,$20000 - 24999,$25000 or more,Yes,Average,Mother & father,Divorced,Not applicable,57,Not applicable,Not applicable,Satisfied,4,A little dissat,Not likely,Sev times a week,Sev times a mnth,Only some,Only some,Only some,Only some,Only some,Cannot trust,Not applicable,2016
